,balcony,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,bedrooms_count,year_built,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
2675,0.0,1,38.0,6.0,2.0,26.8,f,,1970.0,9,ВАО,р-н Преображенское,Преображенская площадь,walk,10,10700000
8016,,2,26.12,3.1,,18.0,t,,,20,ВАО,р-н Преображенское,Преображенская площадь,walk,17,8554300
189,,3,62.0,20.0,1.0,20.0,f,,,14,ЦАО,р-н Замоскворечье,Серпуховская,walk,10,63000000
5367,,1,235.6,47.4,4.0,68.9,t,,,3,СЗАО,р-н Хорошево-Мневники,Бульвар Генерала Карбышева,transport,4,226600000
1014,1.0,24,42.45,7.4,1.0,12.5,t,,,26,ЦАО,р-н Пресненский,Белорусская,walk,10,36260790
4999,0.0,15,109.6,21.0,4.0,56.6,f,,2023.0,32,ЮВАО,р-н Нижегородский,Нижегородская,walk,8,34400000
5223,,17,123.3,,4.0,,f,,2005.0,18,ЮЗАО,р-н Ломоносовский,Профсоюзная,walk,12,78039000
2019,,1,36.55,11.3,1.0,16.7,f,,,9,НАО (Новомосковский),м. Рассказовка,Рассказовка,transport,20,7600198
5607,1.0,7,230.0,15.0,5.0,,f,,1999.0,7,ЦАО,р-н Хамовники,Кропоткинская,walk,10,260000000
3335,,3,105.8,7.0,3.0,,f,,,10,ЗАО,р-н Дорогомилово,Парк Победы,walk,12,107878970
3833,0.0,20,70.6,10.0,3.0,35.0,f,,,42,ЮЗАО,р-н Котловка,Нагорная,walk,20,33500000
3009,0.0,18,41.2,7.6,2.0,24.0,t,,2017.0,20,СВАО,р-н Бутырский,Дмитровская,walk,11,18000000
4783,0.0,2,180.0,14.0,4.0,110.0,,,1905.0,8,ЦАО,р-н Арбат,Арбатская,walk,5,170000000
4652,,4,251.8,,4.0,,f,,2021.0,4,ЦАО,р-н Якиманка,Боровицкая,walk,13,630000000
6863,0.0,2,300.0,,6.0,,f,,1957.0,2,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,5,140000000
