,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
2550,2,120.0,,3.0,100.0,f,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,15,165000000
2551,5,72.8,23.4,2.0,26.2,f,11,ЗАО,м. Павшино,Павшино,transport,24,37237200
2552,4,275.2,,5.0,,t,6,ЦАО,р-н Тверской,Охотный ряд,walk,7,553770000
2553,16,34.1,6.0,1.0,19.7,f,17,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,14,7169794
2554,14,220.0,20.0,5.0,,f,18,ЗАО,р-н Раменки,Минская,walk,15,90000000
2555,9,65.5,10.0,3.0,55.0,t,25,СЗАО,р-н Покровское-Стрешнево,Трикотажная,transport,4,27000000
2556,6,53.3,8.5,2.0,32.0,f,12,СВАО,р-н Бибирево,Бибирево,transport,6,13500000
2557,3,173.6,15.0,3.0,,f,10,ЦАО,р-н Тверской,Белорусская,walk,4,165000000
2558,11,36.8,9.7,1.0,19.3,f,16,ЦАО,р-н Таганский,Площадь Ильича,walk,7,14899000
2559,14,345.8,47.0,6.0,197.0,f,14,ЦАО,р-н Таганский,Пролетарская,walk,10,179000000
2560,8,119.5,13.3,3.0,46.2,,15,ЦАО,р-н Хамовники,Спортивная,walk,8,149300000
2561,25,24.1,,1.0,,f,27,СЗАО,р-н Щукино,Щукинская,transport,4,11206500
2562,4,250.0,40.0,6.0,200.0,f,17,ЗАО,р-н Дорогомилово,Студенческая,walk,5,156182195
2563,21,101.4,,4.0,54.9,f,23,СВАО,р-н Ростокино,Ботанический сад,walk,11,59519000
2564,18,40.2,,1.0,12.7,f,25,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,6,23432905
2565,29,738.87,,6.0,591.0,f,31,ЗАО,р-н Очаково-Матвеевское,Давыдково,transport,5,610613324
2566,7,52.9,17.8,2.0,23.5,f,24,ЗАО,р-н Солнцево,Солнцево,walk,12,17200000
2567,2,44.0,6.0,2.0,32.0,f,5,ЮВАО,р-н Кузьминки,Кузьминки,walk,17,14000000
2568,4,136.0,12.0,5.0,73.0,,14,ЗАО,р-н Раменки,Минская,transport,5,90000000
2569,5,54.0,8.5,2.0,34.0,f,14,СЗАО,р-н Южное Тушино,Сходненская,walk,17,15000000
2570,24,41.62,,1.0,,f,75,ЮАО,р-н Донской,Площадь Гагарина,walk,9,21941564
2571,6,44.6,17.6,,,f,8,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,8,13125780
2572,15,83.7,,3.0,,,21,ЦАО,р-н Пресненский,Деловой центр,walk,13,120000000
2573,9,67.0,19.0,2.0,40.0,f,14,ЗАО,р-н Раменки,Минская,transport,5,38000000
2574,6,314.0,33.3,6.0,170.0,,10,ЦАО,р-н Тверской,Новослободская,walk,8,320000000
2575,2,110.5,15.0,3.0,65.0,f,12,ЗАО,р-н Раменки,Ломоносовский проспект,walk,10,49500000
2576,6,134.0,,4.0,107.0,f,7,ЦАО,р-н Тверской,Маяковская,walk,4,76900000
2577,18,23.29,,,,f,57,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,walk,15,14200000
2578,7,70.04,23.4,1.0,15.0,f,13,ЗАО,м. Павшино,Павшино,transport,24,38795156
2579,6,106.1,15.0,3.0,58.1,,15,ЮАО,р-н Даниловский,Крестьянская застава,transport,5,41500000
2580,4,80.8,,3.0,,f,22,СВАО,р-н Марьина роща,Савёловская,walk,13,35519841
2581,7,70.04,23.4,1.0,15.0,f,13,ЗАО,м. Павшино,Павшино,transport,24,38795156
2582,6,67.7,27.3,3.0,26.2,f,64,СЗАО,р-н Хорошево-Мневники,Хорошёвская,transport,5,21886409
2583,2,150.0,,4.0,,f,8,ЗАО,р-н Раменки,Минская,walk,15,115000000
2584,4,1400.0,60.0,6.0,1335.0,f,4,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,transport,8,1347050000
2585,8,40.0,17.2,2.0,12.0,,9,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,8,12800000
2586,11,305.0,25.7,5.0,142.4,,12,ЮЗАО,р-н Обручевский,Новые Черёмушки,walk,12,124900000
2587,5,380.0,10.0,6.0,230.0,,6,ЗАО,р-н Раменки,Минская,walk,14,404999000
2588,3,43.0,10.0,2.0,25.0,,41,САО,р-н Западное Дегунино,Селигерская,walk,11,23700000
2589,2,41.49,,2.0,,t,14,ЗАО,р-н Дорогомилово,Киевская,walk,8,36635670
2590,2,342.0,,6.0,273.0,f,4,ЗАО,р-н Крылатское,Молодёжная,transport,6,275471699
2591,5,78.1,6.0,3.0,50.0,,6,ЦАО,р-н Тверской,Маяковская,walk,4,68867924
2592,35,424.0,,6.0,229.0,f,35,СЗАО,р-н Щукино,Щукинская,walk,18,299000000
2593,4,74.91,8.5,2.0,56.6,t,6,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,10,120530190
2594,8,56.59,,2.0,,f,25,ЮАО,р-н Москворечье-Сабурово,Варшавская,walk,15,23340645
2595,3,51.0,,2.0,,f,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,9,52000000
2596,3,56.6,,2.0,,f,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,7,58300000
2597,31,70.0,25.0,3.0,30.0,f,39,ВАО,р-н Гольяново,Черкизовская,walk,11,27490000
2598,24,62.6,15.4,2.0,31.3,f,28,ЗАО,р-н Раменки,Раменки,walk,8,33900000
2599,8,120.0,25.0,3.0,95.0,t,28,САО,р-н Ховрино,Речной вокзал,walk,19,39000000
2600,3,26.0,,,,t,21,ЮВАО,р-н Нижегородский,Калитники,walk,10,9884467
2601,2,36.9,7.6,2.0,22.6,,9,САО,р-н Сокол,Панфиловская,walk,3,12300000
