,price
1143,142182309
1144,12000000
1145,8295210
1146,9120000
1147,8000000
1148,119900000
1149,11600000
1150,31374835
1151,16500000
1152,21289999
1153,17726214
1154,12700000
1155,24921930
1156,28700000
1157,15241600
1158,121651111
1159,18350554
1160,22500000
1161,55620985
1162,8089171
1163,8300000
1164,9793785
1165,63000000
1166,50078940
1167,10490000
1168,25990000
1169,20577230
1170,25000000
1171,147800000
1172,11400000
1173,10072244
1174,16950000
1175,20600000
1176,9973705
1177,18300000
1178,12005280
1179,23100000
1180,67290835
1181,19390000
1182,13072251
1183,7219473
1184,44496400
1185,54990000
1186,40471200
1187,15950000
1188,59000000
1189,7531741
1190,55500800
1191,56477562
1192,72000000
1193,13578463
1194,6551977
1195,22845714
1196,29997306
1197,8060000
1198,16030653
1199,17500000
1200,21287149
1201,43000000
1202,49853736
1203,24674179
1204,135103850
1205,69000000
1206,15219000
1207,8500000
1208,87900000
1209,194460000
1210,21188976
1211,36900000
1212,13750000
1213,21500000
1214,9900000
1215,8390000
1216,40414336
1217,65000000
1218,7324337
1219,30455467
1220,17000000
1221,17100000
1222,23800000
1223,53156644
1224,30375342
1225,10390000
1226,20600000
1227,80000000
1228,84500000
1229,142000000
1230,56095999
1231,18194057
1232,150000000
1233,7253668
1234,85000000
1235,19000000
1236,12299999
1237,16850000
1238,44700000
1239,15683557
1240,6844075
1241,6708124
1242,14900000
1243,12700000
1244,135000000
1245,10700000
1246,11088400
1247,10900000
1248,8324580
1249,35500000
1250,23852901
1251,90000000
1252,67000000
1253,27600000
1254,10400000
1255,7713703
1256,7598344
1257,6990000
1258,202012579
1259,16000000
1260,5939943
1261,23300000
1262,97729363
1263,120000000
1264,176120000
1265,6908954
1266,24504472
1267,29200000
1268,160500000
1269,20174859
1270,29900000
1271,58910000
1272,52500000
1273,67000000
1274,20000000
1275,46000000
1276,18616920
1277,66000000
1278,21384000
1279,37900000
1280,30190932
1281,64185100
1282,7417803
1283,14097355
1284,79000000
1285,8900000
1286,243000000
1287,52900000
1288,22000000
1289,69945000
1290,18382016
1291,11700000
1292,23900000
1293,14000000
1294,20607783
1295,26905000
1296,6883313
1297,157770000
1298,36208500
1299,7622245
1300,34716000
1301,5900000
1302,9969687
1303,6298097
1304,9950000
1305,135000000
1306,71000000
1307,12950000
1308,24900000
1309,15094293
1310,103840000
1311,85000000
1312,6374289
1313,32610600
1314,12640500
1315,37000000
1316,14000000
1317,85000000
1318,27038015
1319,59500000
1320,14543900
1321,7456918
1322,8323928
1323,30500000
1324,21985200
1325,46000000
1326,149000000
1327,45159446
1328,234583016
1329,37000000
1330,7766495
1331,16700000
1332,14147280
1333,76034640
1334,25708800
1335,150000000
1336,170000000
1337,18770300
1338,70000000
1339,7916300
1340,21850000
1341,114000000
1342,18064000
1343,18500000
1344,18412265
1345,63800000
1346,19400000
1347,26509404
1348,185000000
1349,85000000
1350,11500000
1351,10950000
1352,25700000
1353,8754619
1354,7722612
1355,5813470
1356,9215000
1357,101006289
1358,43000000
1359,43258641
1360,10800000
1361,21960000
1362,12400000
1363,75000000
1364,209000000
1365,45000000
1366,18753288
1367,14105020
1368,40484365
