,Unnamed: 0,price
1854,1854,29176228
1149,1149,11600000
1543,1543,149258558
3380,3380,15000000
1250,1250,23852901
3363,3363,21628464
576,576,27000000
517,517,103840000
607,607,102000000
1751,1751,277800000
1785,1785,7050296
22,22,23954676
3212,3212,107526900
3915,3915,29201550
2431,2431,9414330
4140,4140,120000000
1816,1816,125000000
3237,3237,13500000
4197,4197,13509421
2888,2888,10674102
4213,4213,10795459
1484,1484,45900000
2195,2195,13500000
401,401,183000000
515,515,23500000
776,776,175400000
968,968,51000000
2474,2474,7470140
3544,3544,6888884
2665,2665,11999000
4565,4565,9200000
598,598,10500000
2660,2660,95000000
1313,1313,32610600
1357,1357,101006289
2378,2378,21193759
4014,4014,11500000
3556,3556,86525811
902,902,33948458
1743,1743,8460359
3453,3453,17800000
4430,4430,5969000
3284,3284,139500000
4553,4553,95000000
1014,1014,26906628
2250,2250,89900000
4755,4755,22990000
1382,1382,24500000
2973,2973,17400000
402,402,69818660
3553,3553,11085800
3902,3902,19076728
3921,3921,74990000
3260,3260,28400000
4796,4796,6507900
2845,2845,14817000
3552,3552,10800800
4357,4357,6990000
4633,4633,7574648
1999,1999,10500000
2114,2114,14000000
3286,3286,17358500
922,922,164640000
14,14,13509421
2529,2529,9278057
3918,3918,20990000
1054,1054,15700000
3478,3478,143235400
622,622,50869000
1478,1478,15900000
3687,3687,28500000
2375,2375,20919295
77,77,56500000
236,236,14500000
4751,4751,8532216
473,473,13936853
1978,1978,14528367
3164,3164,26380959
2432,2432,8788950
4712,4712,72490000
4148,4148,22800000
4056,4056,26160960
3634,3634,14500000
1016,1016,6300000
1691,1691,114896056
2374,2374,66490000
3076,3076,12950000
3273,3273,7478599
740,740,49344000
3095,3095,18250000
3438,3438,27999000
3541,3541,92254794
4202,4202,13790000
4414,4414,72320000
2028,2028,7133080
406,406,29900000
1354,1354,7722612
629,629,18801719
4440,4440,11600000
1903,1903,210056000
3548,3548,51500000
352,352,8489362
1283,1283,14097355
4450,4450,82228524
4089,4089,15000000
1218,1218,7324337
2042,2042,199000000
2697,2697,7064710
544,544,59000000
124,124,18990000
3998,3998,6946602
2837,2837,83000000
535,535,8510156
1046,1046,29955305
741,741,209622000
2345,2345,8900000
1928,1928,13850000
2197,2197,229559749
50,50,74027567
4511,4511,183647799
1284,1284,79000000
3066,3066,16900000
3942,3942,151423615
