,Unnamed: 0,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
1851,1851,13,25.4,6.4,0.0,12.4,f,14,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,walk,3,10025380
1852,1852,2,103.0,19.4,4.0,53.9,f,28,ЗАО,р-н Раменки,Раменки,walk,10,48265552
1853,1853,40,175.0,9.0,4.0,125.0,t,60,ЦАО,р-н Пресненский,Деловой центр,walk,2,243000000
1854,1854,15,38.0,8.0,1.0,19.2,,17,ВАО,р-н Вешняки,Новогиреево,walk,19,11800000
1855,1855,4,20.9,8.2,1.0,6.3,f,17,НАО (Новомосковский),м. Бунинская аллея,Бунинская аллея,transport,8,7590237
1856,1856,2,46.0,16.6,1.0,23.2,,29,ЮАО,р-н Даниловский,Автозаводская,walk,19,19200000
1857,1857,14,24.6,5.1,1.0,10.8,f,22,НАО (Новомосковский),м. Саларьево,Саларьево,transport,3,7082534
1858,1858,4,25.3,6.5,1.0,13.8,,9,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,walk,7,10700000
1859,1859,4,145.0,20.0,4.0,100.0,f,32,ЗАО,р-н Раменки,Минская,walk,13,59900000
1860,1860,8,33.7,11.5,1.0,0.0,f,20,ЗАО,р-н Очаково-Матвеевское,Озёрная,walk,9,13500000
1861,1861,17,128.2,8.2,6.0,86.0,f,19,ЮЗАО,р-н Коньково,Калужская,walk,11,39900000
1862,1862,3,36.7,13.5,1.0,13.1,f,64,СЗАО,р-н Хорошево-Мневники,Хорошёвская,transport,5,14406557
1863,1863,26,34.3,6.8,1.0,11.5,f,32,САО,р-н Западное Дегунино,Селигерская,walk,8,13746719
1864,1864,3,550.0,30.0,6.0,0.0,,3,ЗАО,р-н Крылатское,Молодёжная,transport,5,890691829
1865,1865,24,25.4,6.3,0.0,12.5,f,32,СЗАО,р-н Митино,Пятницкое шоссе,transport,5,7624876
1866,1866,6,136.5,0.0,4.0,0.0,f,12,ЗАО,р-н Раменки,Минская,transport,5,92000000
1867,1867,21,24.1,0.0,0.0,0.0,f,33,ЗАО,р-н Очаково-Матвеевское,Озёрная,walk,14,10341310
1868,1868,2,43.2,15.3,1.0,14.0,,9,НАО (Новомосковский),м. Мичуринец,Мичуринец,walk,11,11100000
1869,1869,14,38.8,10.5,1.0,0.0,,22,ЮВАО,р-н Марьино,Братиславская,walk,20,12300000
1870,1870,13,33.46,10.2,1.0,11.4,f,17,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,13,7584663
1871,1871,4,87.3,37.7,1.0,0.0,f,8,ЦАО,р-н Мещанский,Тургеневская,walk,9,133844257
1872,1872,17,152.4,0.0,4.0,93.2,f,18,ЗАО,р-н Дорогомилово,Москва-Сити,walk,19,162520646
1873,1873,3,137.0,0.0,3.0,0.0,t,6,ЦАО,р-н Якиманка,Полянка,walk,4,164000000
1874,1874,11,240.2,27.0,5.0,171.0,,13,ЗАО,р-н Кунцево,Кунцевская,walk,9,71000000
1875,1875,6,85.7,15.3,4.0,60.1,t,28,СЗАО,р-н Хорошево-Мневники,Полежаевская,walk,20,33851500
1876,1876,9,83.0,8.0,3.0,59.0,,14,ЦАО,р-н Мещанский,Достоевская,walk,9,98000000
1877,1877,2,37.76,19.5,1.0,11.5,f,21,СВАО,р-н Марфино,Телецентр,walk,11,20490000
1878,1878,3,47.9,5.2,2.0,32.0,,11,ЮАО,р-н Даниловский,ЗИЛ,walk,17,20000000
1879,1879,5,45.6,6.0,2.0,34.0,,5,ЮВАО,р-н Кузьминки,Кузьминки,walk,17,12500000
1880,1880,12,38.5,10.0,1.0,15.0,f,16,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,7,11900000
1881,1881,2,100.75,0.0,1.0,0.0,f,14,ЦАО,р-н Хамовники,Киевская,walk,13,188111735
1882,1882,6,59.0,6.0,3.0,38.3,,9,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,walk,9,16400000
1883,1883,22,60.2,0.0,2.0,0.0,f,32,ЮАО,р-н Даниловский,Павелецкая,walk,9,47592976
1884,1884,2,34.64,6.5,1.0,19.7,f,12,НАО (Новомосковский),м. Щербинка,Щербинка,transport,9,7866976
1885,1885,1,1040.0,0.0,6.0,832.0,f,2,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,7,700000000
1886,1886,7,24.0,0.0,0.0,0.0,f,16,НАО (Новомосковский),м. Прокшино,Прокшино,walk,16,7900000
1887,1887,20,110.1,21.8,4.0,83.3,t,29,ЮЗАО,р-н Черемушки,Новые Черёмушки,walk,11,40737000
1888,1888,18,43.0,14.0,1.0,24.0,t,22,СЗАО,р-н Щукино,Стрешнево,walk,6,19500000
1889,1889,2,79.64,12.3,3.0,43.2,f,21,СВАО,р-н Марфино,Телецентр,walk,11,40940000
1890,1890,2,74.0,15.0,2.0,52.0,t,15,САО,р-н Аэропорт,Динамо,walk,7,39000000
1891,1891,7,58.8,6.0,3.0,42.0,,9,ВАО,р-н Новогиреево,Перово,walk,5,14800000
1892,1892,5,162.2,15.0,4.0,0.0,,6,ЦАО,р-н Таганский,Таганская,walk,7,220000000
1893,1893,10,60.5,17.6,2.0,22.0,f,25,ЮВАО,р-н Люблино,Перерва,transport,4,16300000
1894,1894,13,23.7,4.7,0.0,11.2,f,16,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,8,8353228
1895,1895,32,166.0,24.0,5.0,100.0,f,58,СВАО,р-н Ростокино,Ростокино,walk,13,60000000
1896,1896,4,98.0,18.7,3.0,56.0,,11,СВАО,р-н Останкинский,Алексеевская,walk,10,35500000
1897,1897,10,85.56,24.9,2.0,31.1,f,15,ВАО,р-н Преображенское,Преображенская площадь,walk,7,40033063
1898,1898,1,166.0,0.0,4.0,0.0,f,7,ЦАО,р-н Хамовники,Кропоткинская,walk,5,244900000
1899,1899,2,116.0,32.0,2.0,50.0,f,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,9,142000000
1900,1900,4,127.0,20.0,4.0,80.0,f,30,ЗАО,р-н Тропарево-Никулино,Юго-Западная,walk,8,45000000
1901,1901,33,57.3,22.0,2.0,23.3,f,52,ЮАО,р-н Москворечье-Сабурово,Борисово,transport,6,20575914
